City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,dalvik,65.9702,-18.5286,-6.14,88,100,6.43,IS,1678270282
84,kaitangata,-46.2817,169.8464,15.47,79,99,1.78,NZ,1678270282
85,labuhan,-6.8844,112.2051,27.87,78,31,2.06,ID,1678270282
86,nizhnyaya tavda,57.6731,66.1725,-6.76,82,100,2.55,RU,1678270282
87,smithers,54.7804,-127.1743,-7.48,96,100,1.03,CA,1678270283
88,malakal,9.5334,31.6605,37.72,15,94,1.99,SS,1678270283
89,marawi,7.9986,124.2928,20.92,97,70,1.83,PH,1678270283
90,ust-nera,64.5667,143.2,-30.39,100,91,1.35,RU,1678270283
91,sorong,-0.8833,131.25,27.19,80,67,3.24,ID,1678270283
92,zambezi,-13.5432,23.1047,25.21,75,100,2.23,ZM,1678270283
93,yellowknife,62.456,-114.3525,-18.58,84,93,4.47,CA,1678270283
94,nocera inferiore,40.7522,14.6401,16.5,75,100,2.58,IT,1678270283
95,phan thiet,10.9333,108.1,25.83,64,11,9.16,VN,1678270284
96,pangnirtung,66.1451,-65.7125,-6.39,77,44,2.36,CA,1678270284
97,anicuns,-16.4611,-49.9617,19.53,96,100,1.35,BR,1678270284
98,lata,40.1629,-8.3327,15.51,89,100,4.76,PT,1678270284
99,ngunguru,-35.6167,174.5,15.94,79,3,2.06,NZ,1678270284
100,kudahuvadhoo,2.6708,72.8944,27.78,77,12,6.56,MV,1678270285
101,longyearbyen,78.2186,15.6401,-11.09,62,75,6.17,SJ,1678270285
102,margate,51.3813,1.3862,3.28,90,100,3.58,GB,1678270123
103,polewali,-3.4324,119.3435,26.93,83,99,1.39,ID,1678270285
104,narsaq,60.9167,-46.05,2.12,66,11,4.4,GL,1678270250
105,lanja,16.85,73.55,36.69,17,11,4.55,IN,1678270286
106,faanui,-16.4833,-151.75,28.3,73,97,5.35,PF,1678270286
107,srednekolymsk,67.45,153.6833,-26.95,100,100,1.25,RU,1678270286
108,huarmey,-10.0681,-78.1522,23.59,79,100,1.81,PE,1678270286
109,ribas do rio pardo,-20.4431,-53.7592,22.02,90,100,0.78,BR,1678270286
110,darhan,49.4867,105.9228,4.45,42,98,2.65,MN,1678270287
111,kedgwick,47.6446,-67.3434,-0.78,95,100,3.63,CA,1678270287
112,sakakah,29.9697,40.2064,26.31,21,0,6.69,SA,1678270287
113,namatanai,-3.6667,152.4333,25.36,88,100,3.68,PG,1678270288
114,sitka,57.0531,-135.33,-2.06,26,0,1.54,US,1678270288
115,ahipara,-35.1667,173.1667,15.11,84,19,0.42,NZ,1678270288
116,lethem,3.3803,-59.7968,23.29,81,75,4.53,GY,1678270288
117,baie-comeau,49.2168,-68.1489,1.18,89,100,3.35,CA,1678270288
118,kolda,12.8833,-14.95,34.33,11,61,3.61,SN,1678270289
119,ugoofaaru,5.6667,73.0,27.72,76,3,7.96,MV,1678270289
120,east wenatchee bench,47.4257,-120.2812,1.76,92,100,2.57,US,1678270289
121,cidreira,-30.1811,-50.2056,22.04,88,41,2.6,BR,1678270060
122,golovchino,50.5341,35.797,6.38,81,100,6.19,RU,1678270290
123,barrow,71.2906,-156.7887,-1.99,93,100,3.6,US,1678270088
124,dunedin,-45.8742,170.5036,17.94,64,88,3.19,NZ,1678270290
125,airai,-8.9266,125.4092,17.24,96,90,1.08,TL,1678270290
126,basco,20.4487,121.9702,22.31,63,2,6.67,PH,1678270290
127,iqaluit,63.7506,-68.5145,-7.39,85,10,4.02,CA,1678270291
128,alandi,18.6667,73.9,32.43,16,20,2.15,IN,1678270291
129,sawakin,19.1059,37.3321,27.62,68,75,7.5,SD,1678270291
130,severodvinsk,64.5635,39.8302,-5.94,85,71,3.73,RU,1678270169
131,dong hoi,17.4833,106.6,22.61,83,2,3.52,VN,1678270291
132,zaraza,9.3503,-65.3245,22.98,81,95,1.75,VE,1678270291
133,shimoda,34.6667,138.95,14.5,74,1,5.25,JP,1678270292
134,asosa,10.0667,34.5333,29.15,20,93,1.97,ET,1678270292
135,neuquen,-38.9516,-68.0591,19.85,48,58,3.89,AR,1678270292
136,hithadhoo,-0.6,73.0833,28.39,72,5,4.15,MV,1678270292
137,talaya,61.3833,152.75,-31.78,100,47,1.11,RU,1678270126
138,sechura,-5.5569,-80.8222,23.9,91,100,2.4,PE,1678270292
139,panjab,34.388,67.0233,3.41,95,83,1.38,AF,1678270292
140,petropavlovsk-kamchatskiy,53.0452,158.6483,-8.74,92,60,2.3,RU,1678270293
141,khatanga,71.9667,102.5,-22.53,98,100,2.99,RU,1678270293
142,avarua,-21.2078,-159.775,26.03,89,75,1.54,CK,1678270293
143,bluff,-46.6,168.3333,18.02,75,99,6.49,NZ,1678270293
144,san patricio,28.017,-97.5169,22.92,93,12,3.57,US,1678270293
145,tiassale,5.8983,-4.8283,31.59,53,97,1.23,CI,1678270294
146,shelburne,44.0787,-80.2041,-4.58,77,65,7.26,CA,1678270294
147,casino,-28.8667,153.05,25.99,85,100,2.23,AU,1678270294
148,pietarsaari,63.65,22.6833,-5.56,70,100,1.34,FI,1678270294
149,tutoia,-2.7619,-42.2744,26.6,83,50,5.25,BR,1678270294
150,bom jesus,-9.0744,-44.3586,23.79,58,54,0.68,BR,1678270294
151,houma,29.5958,-90.7195,21.11,92,100,0.0,US,1678270295
152,hobyo,5.3505,48.5268,29.01,60,73,8.68,SO,1678270295
153,richards bay,-28.783,32.0377,29.81,47,33,5.49,ZA,1678270135
154,mayo,38.8876,-76.5119,2.97,46,0,4.12,US,1678270295
155,bambous virieux,-20.3428,57.7575,29.01,67,93,6.49,MU,1678270295
156,tchollire,8.4022,14.1698,38.74,6,23,2.49,CM,1678270295
157,hwange,-18.3693,26.5019,30.13,43,92,2.84,ZW,1678270295
158,tuktoyaktuk,69.4541,-133.0374,-19.55,85,9,8.79,CA,1678270295
159,powell river,49.8496,-124.5361,4.44,79,100,3.1,CA,1678270127
160,kabelvag,68.2114,14.4817,-7.0,63,0,4.63,NO,1678270296
161,sioux lookout,50.1001,-91.917,-11.06,95,100,3.24,CA,1678270296
162,mercedes,-34.6515,-59.4307,20.44,82,0,2.95,AR,1678270296
163,rockingham,42.9668,-71.0995,-0.83,73,48,1.34,US,1678270297
164,teahupoo,-17.8333,-149.2667,22.98,84,67,4.66,PF,1678270297
165,bima,-8.4667,118.7167,25.23,92,98,0.39,ID,1678270297
166,anadyr,64.75,177.4833,-26.67,75,0,1.0,RU,1678270008
167,mitsamiouli,-11.3847,43.2844,28.92,66,100,5.69,KM,1678270297
168,neryungri,56.6709,124.6491,-12.68,92,100,3.15,RU,1678270297
169,kapaa,22.0752,-159.319,20.18,91,20,5.14,US,1678270298
170,bajil,15.0584,43.2851,34.2,31,35,4.64,YE,1678270298
171,georgetown,5.4112,100.3354,30.96,70,20,5.14,MY,1678270277
172,kruisfontein,-34.0033,24.7314,23.27,50,0,11.11,ZA,1678270298
173,tabou,4.423,-7.3528,28.61,72,99,2.07,CI,1678270299
174,kotido,2.9806,34.1331,32.85,21,16,7.77,UG,1678270299
175,fort nelson,58.8053,-122.7002,-17.81,88,100,2.62,CA,1678270300
176,haines junction,60.7522,-137.5108,-23.05,100,96,0.9,CA,1678270300
177,marsa matruh,31.3525,27.2453,20.23,34,22,1.13,EG,1678270300
178,mathathane,-22.2687,28.7495,29.14,38,10,4.73,BW,1678270300
179,pimentel,-6.8367,-79.9342,24.16,88,75,1.03,PE,1678270300
180,cherskiy,68.75,161.3,-25.2,99,100,2.31,RU,1678270301
181,yeppoon,-23.1333,150.7333,26.88,78,100,4.39,AU,1678270301
182,salalah,17.0151,54.0924,31.05,25,20,2.06,OM,1678270178
183,batemans bay,-35.7167,150.1833,18.94,58,39,3.2,AU,1678270301
184,port-gentil,-0.7193,8.7815,27.61,79,94,6.28,GA,1678270301
185,yulara,-25.2406,130.9889,25.1,18,0,5.42,AU,1678270301
186,clyde river,70.4692,-68.5914,-19.99,99,43,2.44,CA,1678270301
187,severo-kurilsk,50.6789,156.125,-2.5,84,90,4.47,RU,1678270302
188,warmbad,-28.45,18.7333,22.58,33,0,1.74,NA,1678270302
189,nuuk,64.1835,-51.7216,-8.11,80,12,4.14,GL,1678270302
190,new norfolk,-42.7826,147.0587,12.18,62,91,1.34,AU,1678270302
191,ube,33.9431,131.2511,15.69,74,100,1.79,JP,1678270302
192,grand-santi,4.25,-54.3833,20.7,100,84,0.78,GF,1678270303
193,quibdo,5.6947,-76.6611,21.93,99,99,0.3,CO,1678270303
194,saldanha,-33.0117,17.9442,19.11,79,87,5.41,ZA,1678270303
195,castro,-24.7911,-50.0119,17.06,93,69,1.16,BR,1678270303
196,tervel,43.75,27.4,18.49,37,22,4.98,BG,1678270303
197,bengkulu,-3.8004,102.2655,27.65,77,60,3.04,ID,1678270303
198,cacapava do sul,-30.5122,-53.4914,19.72,91,79,0.95,BR,1678270304
